%%%  data in this file is filtered from the raw experimental data (the .xlsx file in this directory)
%%%  data source: https://www.nature.com/articles/nature16463 (Source data to Fig. 2)
%%%  center (472, 187), x range (404, 540), y range (119, 255), unit in pixel, using data filter in Excel: 404 <= x <= 540, 119 <= y <= 255

407.704499	149.642574	0.287006	-0.743797
407.249135	130.667182	0.24292	-0.532176
482.357621	131.725081	0.633458	0.302194
500.799286	132.058042	0.508308	0.62137
490.733664	122.129799	0.614784	0.324298
537.488376	227.966669	-0.12946	0.627882
537.371143	209.100074	-0.00027	0.921273
408.142429	244.64406	0.032734	-0.785188
408.091143	225.245597	0.090976	-0.779902
444.7025	187.203815	0.029715	-0.72373
463.197085	187.391594	0.008176	-0.347589
463.191772	168.29554	0.211162	-0.101365
444.527879	168.374313	0.187604	-0.540257
453.845379	178.413378	0.089106	-0.489926
425.945414	130.691444	0.441884	-0.43038
416.266423	121.629369	0.363388	-0.445381
407.672048	187.261948	0.120188	-0.881013
426.383624	187.296491	0.06613	-0.790911
426.238249	168.366805	0.236444	-0.763293
407.696325	168.198732	0.249311	-0.93533
416.86728	178.633351	0.1597	-0.857824
518.499598	246.204332	-0.520826	0.307659
537.368941	246.482014	-0.30071	0.473235
518.664952	227.611887	-0.328193	0.431356
528.224835	236.677358	-0.31422	0.44879
463.724261	131.212504	0.703789	0.104229
472.324716	121.889877	0.713687	0.144449
518.723138	209.11857	-0.122753	0.698698
528.404354	217.779499	-0.144941	0.695361
444.822894	130.774635	0.642054	-0.153426
434.954656	121.640626	0.568727	-0.29529
499.681458	245.7944	-0.663435	0.000848
509.773652	254.816299	-0.604926	0.16972
426.275755	244.796282	-0.171668	-0.653842
426.278482	225.407966	-0.087311	-0.729373
417.262506	235.762936	-0.021102	-0.743633
518.844737	132.592492	0.354556	0.915989
509.346589	122.137733	0.488983	0.592319
481.128213	245.71343	-0.711558	-0.192434
499.750493	227.116643	-0.525451	0.101471
480.944843	226.980321	-0.606922	-0.125099
491.048371	236.855631	-0.662104	-0.106211
462.53805	245.383663	-0.634823	-0.252693
518.985545	151.820335	0.209004	1.142647
537.102505	151.955092	0.119828	1.05442
537.134211	132.878903	0.262882	0.9014
527.893316	141.24721	0.226033	1.039992
426.191326	149.580058	0.388621	-0.606889
444.532517	149.646489	0.440961	-0.275046
434.779726	140.502092	0.491808	-0.370196
527.595002	122.085633	0.378142	0.784187
499.959578	208.76902	-0.253277	0.398672
509.492839	217.661953	-0.288352	0.412676
434.989555	159.727844	0.314996	-0.571599
416.45084	140.855923	0.338963	-0.590664
518.732992	190.156551	-0.000403	0.924952
500.07905	189.811884	-0.013529	0.682537
509.332785	198.907058	-0.056222	0.69516
444.243189	245.27329	-0.418403	-0.405676
462.507618	226.214405	-0.478736	-0.395754
444.283455	225.758183	-0.286224	-0.625056
453.952301	236.125278	-0.495467	-0.405707
518.854163	170.989924	0.075795	1.131422
537.165287	171.083912	0.03756	1.120793
527.878806	160.393178	0.110882	1.132083
416.612824	159.773334	0.31193	-0.813196
407.866031	206.226029	0.07846	-0.781859
509.759628	236.633027	-0.527679	0.178918
537.165286	190.05617	0.049823	1.042897
444.567866	206.420386	-0.10597	-0.749506
426.26808	206.349247	-0.034308	-0.771436
435.486814	216.635246	-0.138669	-0.738275
435.414649	235.974286	-0.244325	-0.603374
472.454475	236.171886	-0.649191	-0.233078
463.380299	149.829228	0.471379	0.090577
482.33609	150.645749	0.420189	0.461112
472.362927	140.696232	0.58471	0.241317
417.140946	216.571889	0.02388	-0.760091
500.629255	151.49196	0.298196	0.925013
491.133947	141.043824	0.481053	0.561743
453.601134	159.140906	0.304488	-0.205239
453.918054	254.742466	-0.51253	-0.238219
509.458497	140.838816	0.347933	0.936751
453.375887	140.140154	0.592541	-0.023818
417.317107	254.998137	-0.081715	-0.718847
435.404165	178.487592	0.114849	-0.726172
416.998917	197.403548	0.047897	-0.773195
453.569688	121.760618	0.738664	-0.04414
435.623927	197.779833	-0.027627	-0.782545
462.99446	206.806987	-0.210361	-0.469698
453.834847	197.560144	-0.046206	-0.637362
482.126736	169.588053	0.196845	0.489535
472.412413	159.108003	0.34214	0.250625
500.372474	170.765275	0.12507	0.964139
509.562742	159.906038	0.176551	1.12388
480.877772	207.865813	-0.3685	-0.020097
472.171581	217.248827	-0.44556	-0.255628
453.779406	217.048489	-0.265508	-0.605975
435.669136	254.988351	-0.310551	-0.469671
491.247459	159.895134	0.257816	0.76642
527.991765	198.78122	-0.018247	0.902861
528.180587	179.578334	0.011002	1.063329
490.99573	217.563701	-0.473259	0.094286
509.361005	179.341513	0.054298	0.988891
481.500953	188.694798	-0.060715	0.223098
472.355901	178.135781	0.105602	0.07306
491.015139	179.066674	0.068032	0.655125
490.676066	198.6506	-0.186861	0.327874
472.413174	197.86613	-0.172272	-0.174589
