% Model:              SL_2D.mph
% Version:            COMSOL 6.1.0.252
% Date:               Sep 4 2023, 14:55
% Dimension:          2
% Nodes:              121
% Expressions:        2
% Description:        Dependent variable P1, Dependent variable P2
% Length unit:        m
% X                       Y                        P1 (1) @ t=25            P2 (1) @ t=25
-2                        -2                       -0.3346823865554596      0.33468238655842303
-1.6                      -2                       -0.46555198176594986     0.28080241059239014
-1.2                      -2                       -0.6790137218716004      0.17299735740972877
-0.7999999999999998       -2                       -0.8262801681334412      0.08174882114658476
-0.3999999999999999       -2                       -0.8863706500146721      0.029091058170187336
0                         -2                       -0.8994369574204109      -1.6298080522282777E-11
0.40000000000000036       -2                       -0.8863706499639848      -0.029091058205435335
0.8000000000000003        -2                       -0.826280168023426       -0.08174882118143406
1.2000000000000002        -2                       -0.679013721715795       -0.17299735741629085
1.6                       -2                       -0.4655519816290161      -0.28080241053152
2                         -2                       -0.334682386451258       -0.33468238645387693
-2                        -1.6                     -0.28080241058976463     0.46555198176923923
-1.6                      -1.6                     -0.39574511321648637     0.3957451132197393
-1.2                      -1.6                     -0.6090356949991828      0.2552551288312954
-0.7999999999999998       -1.6                     -0.787812753374456       0.12590820729302576
-0.3999999999999999       -1.6                     -0.8792575915903216      0.04555186738196321
0                         -1.6                     -0.9035241030119091      -2.1772772440239723E-11
0.40000000000000036       -1.6                     -0.8792575915389652      -0.04555186742800318
0.8000000000000003        -1.6                     -0.7878127532693132      -0.12590820733469346
1.2000000000000002        -1.6                     -0.6090356948784852      -0.25525512882853474
1.6                       -1.6                     -0.395745113129763       -0.39574511313272653
2                         -1.6                     -0.28080241052921295     -0.46555198163203687
-2                        -1.2                     -0.17299735740749497     0.6790137218768095
-1.6                      -1.2                     -0.25525512882788703     0.609035695003751
-1.2                      -1.2                     -0.44585612306491057     0.44585612307052264
-0.7999999999999998       -1.2                     -0.6639106480694059      0.25559822053978004
-0.3999999999999999       -1.2                     -0.8186909531020077      0.10411307716726692
0                         -1.2                     -0.8698289965716576      -3.300535260654865E-11
0.40000000000000036       -1.2                     -0.8186909530586194      -0.10411307723059555
0.8000000000000003        -1.2                     -0.6639106480037725      -0.2555982205754819
1.2000000000000002        -1.2                     -0.4458561230277682      -0.4458561230333487
1.6                       -1.2                     -0.25525512882526247     -0.6090356948828151
2                         -1.2                     -0.17299735741419808     -0.6790137217205876
-2                        -0.7999999999999998      -0.08174882114492096     0.8262801681404454
-1.6                      -0.7999999999999998      -0.12590820728999086     0.787812753380008
-1.2                      -0.7999999999999998      -0.255598220533166       0.6639106480765214
-0.7999999999999998       -0.7999999999999998      -0.45489214440228076     0.45489214441318554
-0.3999999999999999       -0.7999999999999998      -0.6484078129545514      0.21611932464801967
0                         -0.7999999999999998      -0.728042350754671       -4.097113592493063E-11
0.40000000000000036       -0.7999999999999998      -0.6484078129429823      -0.21611932471306264
0.8000000000000003        -0.7999999999999998      -0.45489214441085857     -0.4548921444219785
1.2000000000000002        -0.7999999999999998      -0.2555982205688792      -0.6639106480106862
1.6                       -0.7999999999999998      -0.12590820733170124     -0.7878127532748433
2                         -0.7999999999999998      -0.08174882117984797     -0.826280168030555
-2                        -0.3999999999999999      -0.029091058169262895    0.8863706500211168
-1.6                      -0.3999999999999999      -0.04555186738036928     0.879257591597237
-1.2                      -0.3999999999999999      -0.10411307716319121     0.8186909531124678
-0.7999999999999998       -0.3999999999999999      -0.2161193246393873      0.6484078129696186
-0.3999999999999999       -0.3999999999999999      -0.35273991977346164     0.35273991978598124
0                         -0.3999999999999999      -0.41859388251549445     -3.153361872517447E-11
0.40000000000000036       -0.3999999999999999      -0.3527399198142994      -0.3527399198268873
0.8000000000000003        -0.3999999999999999      -0.21611932470439496     -0.64840781295835
1.2000000000000002        -0.3999999999999999      -0.10411307722648784     -0.8186909530698874
1.6                       -0.3999999999999999      -0.04555186742639682     -0.8792575915461275
2                         -0.3999999999999999      -0.029091058204547025    -0.8863706499704562
-2                        0                        1.63022191842774E-11     0.8994369574238168
-1.6                      0                        2.1782512290612283E-11   0.9035241030212323
-1.2                      0                        3.301673952971643E-11    0.8698289965905497
-0.7999999999999998       0                        4.093263291918074E-11    0.7280423507785919
-0.3999999999999999       0                        3.14906185711606E-11     0.418593882528194
0                         0                        1.7660634114539346E-16   -6.015093186385524E-16
0.40000000000000036       0                        -3.148922977032875E-11   -0.4185938825281848
0.8000000000000003        0                        -4.0931626088229575E-11  -0.7280423507786062
1.2000000000000002        0                        -3.3017185457013595E-11  -0.8698289965905202
1.6                       0                        -2.1782383371400548E-11  -0.903524103021196
2                         0                        -1.6301788071307724E-11  -0.8994369574238174
-2                        0.40000000000000036      0.029091058204546164     0.8863706499704084
-1.6                      0.40000000000000036      0.045551867426395595     0.8792575915461359
-1.2                      0.40000000000000036      0.10411307722648827      0.818690953069874
-0.7999999999999998       0.40000000000000036      0.21611932470440468      0.6484078129583586
-0.3999999999999999       0.40000000000000036      0.3527399198143048       0.35273991982687836
0                         0.40000000000000036      0.4185938825155057       3.153424820917543E-11
0.40000000000000036       0.40000000000000036      0.3527399197734775       -0.3527399197859645
0.8000000000000003        0.40000000000000036      0.2161193246393792       -0.6484078129696285
1.2000000000000002        0.40000000000000036      0.10411307716319178      -0.8186909531124564
1.6                       0.40000000000000036      0.04555186738036734      -0.8792575915972347
2                         0.40000000000000036      0.029091058169261948     -0.8863706500211068
-2                        0.8000000000000003       0.08174882117984819      0.8262801680305384
-1.6                      0.8000000000000003       0.12590820733170033      0.7878127532748691
-1.2                      0.8000000000000003       0.25559822056886533      0.663910648010652
-0.7999999999999998       0.8000000000000003       0.45489214441084885      0.4548921444219849
-0.3999999999999999       0.8000000000000003       0.6484078129429428       0.21611932471305195
0                         0.8000000000000003       0.728042350754708        4.0970826809072576E-11
0.40000000000000036       0.8000000000000003       0.6484078129545532       -0.21611932464803024
0.8000000000000003        0.8000000000000003       0.45489214440228015      -0.45489214441317616
1.2000000000000002        0.8000000000000003       0.2555982205331671       -0.6639106480765221
1.6                       0.8000000000000003       0.12590820728999147      -0.787812753380023
2                         0.8000000000000003       0.08174882114491926      -0.826280168140457
-2                        1.2000000000000002       0.17299735741420602      0.6790137217205979
-1.6                      1.2000000000000002       0.2552551288252584       0.6090356948827724
-1.2                      1.2000000000000002       0.44585612302777283      0.44585612303336175
-0.7999999999999998       1.2000000000000002       0.6639106480037729       0.2555982205754756
-0.3999999999999999       1.2000000000000002       0.8186909530586054       0.10411307723059392
0                         1.2000000000000002       0.8698289965716434       3.3004487674231306E-11
0.40000000000000036       1.2000000000000002       0.81869095310202         -0.10411307716727275
0.8000000000000003        1.2000000000000002       0.6639106480693963       -0.25559822053978254
1.2000000000000002        1.2000000000000002       0.4458561230649032       -0.4458561230705234
1.6                       1.2000000000000002       0.25525512882788237      -0.6090356950037136
2                         1.2000000000000002       0.17299735740749345      -0.6790137218768203
-2                        1.6                      0.2808024105292136       0.4655519816320273
-1.6                      1.6                      0.39574511312975363      0.3957451131327177
-1.2                      1.6                      0.6090356948784836       0.2552551288285639
-0.7999999999999998       1.6                      0.7878127532693343       0.1259082073347006
-0.3999999999999999       1.6                      0.879257591538987        0.04555186742800322
0                         1.6                      0.9035241030119048       2.1772715330262635E-11
