% X                       Y                        sigma11 @ t=5            sigma22 @ t=5            sigma12 @ t=5            D1 @ t=5                 D2 @ t=5
0.1200000000000001        -2                       -0.7617241448025484      -0.00131792509794295     -3.9270378392565475E-4   -0.33354483427284215     -9.63613515420729E-5
0.16000000000000014       -2                       -0.7511530381308087      -0.0013316192288035794   -3.520138034117659E-4    -0.33118573862742745     -1.090284654872431E-4
0.20000000000000018       -2                       -0.7388158354099308      -0.001281231898473352    -5.478838591027879E-4    -0.3285559503636373      -1.2149376655228722E-4
0.2400000000000002        -2                       -0.7250904708346858      -0.001222996929568565    -4.3836690634069253E-4   -0.32562060715080476     -1.337569277708485E-4
0.28000000000000025       -2                       -0.710003210962288       -0.001216769532326599    -5.4152409820242E-4      -0.32242682858369015     -1.4580654678372426E-4
0.31999999999999984       -2                       -0.6932933391015162      -0.0010855294296074555   -6.123780350625052E-4    -0.31895664035067406     -1.5764490073479076E-4
0.3599999999999999        -2                       -0.6756609231203411      -0.001102628903223199    -5.337568096856898E-4    -0.3152162624956239      -1.692644992516562E-4
0.3999999999999999        -2                       -0.6567334408026285      -0.0010932159731688734   -8.576231096407011E-4    -0.3112365003808015      -1.8066056839972922E-4
0.43999999999999995       -2                       -0.6364490160712817      -9.574960345726524E-4    -5.921344222159369E-4    -0.30696927026263965     -1.9183724089098103E-4
0.48                      -2                       -0.6154547263168404      -9.72166264952036E-4     -7.324416135279926E-4    -0.3024773813099581      -2.027822877187016E-4
0.52                      -2                       -0.5930908135059182      -8.001599300553816E-4    -7.651069529229643E-4    -0.29773445404825094     -2.13499412048207E-4
0.56                      -2                       -0.5703100295816022      -8.182558047112251E-4    -6.588789214793389E-4    -0.29274626948927523     -2.2398410199435392E-4
0.6000000000000001        -2                       -0.5463530961944704      -6.457281531827147E-4    -0.0010784679468343744   -0.2875637919006989      -2.3423115042971177E-4
0.6400000000000001        -2                       -0.5220990584130775      -6.508399620274267E-4    -6.870398292261465E-4    -0.282092904624797       -2.44247930059463E-4
0.6800000000000002        -2                       -0.4973663648479616      -6.800141434551189E-4    -8.454041766004783E-4    -0.2764444774997525      -2.540233297950306E-4
0.7200000000000002        -2                       -0.4716501841012353      -4.848872941561645E-4    -8.436431356679819E-4    -0.2705699775685495      -2.6356178560312665E-4
0.7600000000000002        -2                       -0.44605283615409985     -5.021854116363071E-4    -7.196121752553186E-4    -0.2644741579874518      -2.7286232723991444E-4
0.8000000000000003        -2                       -0.4198033324775187      -3.278070967350326E-4    -0.0011290837305710372   -0.2582334874372289      -2.8192019532496254E-4
0.8399999999999999        -2                       -0.3937251292074871      -3.2669655424403393E-4   -7.1903581343713E-4      -0.2516995406822931      -2.9074481928839657E-4
0.8799999999999999        -2                       -0.3677286894692547      -3.591615677560091E-4    -8.708265923377673E-4    -0.2450395180112066      -2.993280178736485E-4
0.9199999999999999        -2                       -0.34125597202130037     -1.6099318185017544E-4   -8.447035342627751E-4    -0.23817613804300497     -3.0767432241669834E-4
0.96                      -2                       -0.3154368116528436      -1.7604071427703566E-4   -7.121747876524948E-4    -0.23111220934983404     -3.15786560830672E-4
1                         -2                       -0.28950309510143285     -2.4423964898392936E-6   -0.001067494069472666    -0.22396379492217672     -3.236611444177029E-4
1.04                      -2                       -0.26430357812858163     -7.1865335995978386E-6   -6.869177520506392E-4    -0.21649739228052794     -3.313083219520091E-4
1.08                      -2                       -0.23967757533522827     -2.8069913325250856E-5   -8.026277509973756E-4    -0.20896803193416377     -3.387239409000653E-4
1.12                      -2                       -0.21519068278869563     1.4955996059545784E-4    -7.661051162474453E-4    -0.2012533687960352      -3.4591205725664764E-4
1.1600000000000001        -2                       -0.19185588175398224     1.3802415995214576E-4    -6.349726273795625E-4    -0.19335285898384363     -3.528786377001436E-4
